AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Churn_Value
42,11.32195033,475.5219139,Basic,Electronic check,Yes,Movies,Yes,Tablet,0.386852319,24.59336129,25,Comedy,3.489464519,7,Female,15,No,No,LOHRYYC9E8,0,
95,12.8109146,1217.036887,Standard,Electronic check,Yes,TV Shows,No,Mobile,37.12299991,102.8607951,21,Comedy,2.251859955,3,Male,8,No,,RIH7RFEZCS,0,
6,,91.58330354,Standard,Credit card,Yes,TV Shows,No,Tablet,30.7169444,10.51241512,29,Fantasy,,4,Male,14,No,Yes,JB5J8X2UY1,1,
54,17.91781896,967.562224,Basic,,Yes,Movies,No,Mobile,2.49537296,45.24683449,45,Drama,1.275003599,3,Male,12,No,,Z4GZJIB90P,0,
27,,339.0572438,Basic,Mailed check,No,TV Shows,No,Mobile,39.93691005,94.31095421,44,Comedy,3.236229818,4,Female,18,No,,B3BDJTW0L9,0,
71,,818.2870538,Premium,Credit card,No,Movies,Yes,Computer,7.310172114,123.2807941,30,Comedy,2.779614364,6,Female,16,Yes,,5E4TQK5OVX,0,
69,17.14591043,1183.06782,Basic,,No,Movies,Yes,Mobile,19.00889994,86.12255889,35,Sci-Fi,4.93349448,6,Female,5,No,Yes,8VFNZ1M1I9,1,
76,17.46187535,1327.102526,Premium,Electronic check,No,Movies,Yes,Mobile,24.42941349,137.5578745,32,Fantasy,2.154737151,9,Female,11,Yes,Yes,THKWUHOGUL,0,
8,,,Premium,Electronic check,No,Both,Yes,Computer,15.48891251,137.5529416,16,Fantasy,,3,Female,2,No,Yes,IGZ39O1ROC,0,
26,19.69926163,512.1808023,Premium,Credit card,Yes,Both,Yes,,2.121762457,164.0736427,44,Drama,1.725700398,4,Male,16,Yes,,JHTQYVGRR4,1,
102,,1954.784656,Premium,,No,Movies,Yes,Mobile,38.91923862,5.028411809,29,,2.68385293,6,Male,19,Yes,Yes,W636FZ4VNV,1,
101,,639.2830572,Standard,Electronic check,No,Both,No,Computer,16.06235632,74.34797147,11,Drama,3.836933094,2,Female,12,Yes,,CAS3XBFUJG,0,
83,9.270358699,769.439772,Standard,Electronic check,No,Movies,Yes,Tablet,10.00865503,25.53124935,32,Action,2.551976207,9,Male,17,No,,Y66SW76TPC,1,
10,8.078494236,,Standard,Mailed check,No,TV Shows,No,Mobile,29.18474344,155.792776,0,Fantasy,,2,Female,2,No,,BEREY4ZEQN,0,
8,5.72871245,45.8296996,Standard,Credit card,No,Movies,Yes,Computer,39.39188382,66.40771736,38,Drama,,0,Female,18,No,Yes,ORSECJMYNH,0,
6,13.76503567,,Premium,Electronic check,Yes,Both,Yes,Mobile,7.054925489,45.6142672,22,Action,3.834114298,1,Female,7,No,Yes,HI8VKLPO25,0,
2,,15.63702791,Standard,Credit card,No,TV Shows,No,Tablet,39.36300166,55.83542583,43,Comedy,2.029335498,4,Male,6,No,,6RWHGUCAB4,0,
83,16.26314651,1349.84116,Premium,Bank transfer,No,TV Shows,No,,6.372607419,128.5922698,23,Sci-Fi,,7,Male,13,Yes,,7CC943AY0R,0,
23,13.95714486,321.0143317,Premium,,Yes,Both,No,Tablet,13.16752731,80.11886199,0,Comedy,1.864824172,8,Male,1,No,,Y7COZUAXRR,0,
23,,145.2351101,Standard,,Yes,Both,No,Tablet,19.63086022,64.0479123,27,Action,1.742696348,9,Female,23,No,,7O0U49OF9M,0,
24,,310.4670245,Standard,,Yes,Both,No,TV,15.43167303,65.110075,31,Sci-Fi,,1,Male,16,No,,KWCJPZTMBZ,1,
87,15.00089979,1305.078282,,Bank transfer,Yes,TV Shows,Yes,TV,37.83699164,121.8521556,29,Action,4.647866618,4,Female,13,No,,A92ZOG2V1J,0,
63,6.635013133,,Premium,Credit card,No,TV Shows,Yes,Mobile,35.34919184,172.6618113,32,Comedy,1.011745357,6,Female,20,No,,RZUWX2CJ0Q,0,
78,19.85211057,1548.464625,Basic,Electronic check,Yes,Movies,No,TV,29.40402476,80.22383068,13,,2.274722005,2,Male,0,Yes,,VJN9GFI0OP,0,
