AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Churn_Value
42,11.32195033,475.5219139,Basic,Electronic check,Yes,Movies,Yes,Tablet,0.386852319,24.59336129,25,Comedy,3.489464519,7,Female,15,No,No,LOHRYYC9E8,0,
95,12.8109146,1217.036887,Standard,Electronic check,Yes,TV Shows,No,Mobile,37.12299991,102.8607951,21,Comedy,2.251859955,3,Male,8,No,Unknown,RIH7RFEZCS,0,
6,12.16988764,91.58330354,Standard,Credit card,Yes,TV Shows,No,Tablet,30.7169444,10.51241512,29,Fantasy,2.8983278864999997,4,Male,14,No,Yes,JB5J8X2UY1,1,
54,17.91781896,967.562224,Basic,Unknown,Yes,Movies,No,Mobile,2.49537296,45.24683449,45,Drama,1.275003599,3,Male,12,No,Unknown,Z4GZJIB90P,0,
27,12.16988764,339.0572438,Basic,Mailed check,No,TV Shows,No,Mobile,39.93691005,94.31095421,44,Comedy,3.236229818,4,Female,18,No,Unknown,B3BDJTW0L9,0,
71,12.16988764,818.2870538,Premium,Credit card,No,Movies,Yes,Computer,7.310172114,123.2807941,30,Comedy,2.779614364,6,Female,16,Yes,Unknown,5E4TQK5OVX,0,
69,17.14591043,1183.06782,Basic,Unknown,No,Movies,Yes,Mobile,19.00889994,86.12255889,35,Sci-Fi,4.93349448,6,Female,5,No,Yes,8VFNZ1M1I9,1,
76,17.46187535,1327.102526,Premium,Electronic check,No,Movies,Yes,Mobile,24.42941349,137.5578745,32,Fantasy,2.154737151,9,Female,11,Yes,Yes,THKWUHOGUL,0,
8,12.16988764,614.1966064,Premium,Electronic check,No,Both,Yes,Computer,15.48891251,137.5529416,16,Fantasy,2.8983278864999997,3,Female,2,No,Yes,IGZ39O1ROC,0,
26,19.69926163,512.1808023,Premium,Credit card,Yes,Both,Yes,Unknown,2.121762457,164.0736427,44,Drama,1.725700398,4,Male,16,Yes,Unknown,JHTQYVGRR4,1,
102,12.16988764,1954.784656,Premium,Unknown,No,Movies,Yes,Mobile,38.91923862,5.028411809,29,Unknown,2.68385293,6,Male,19,Yes,Yes,W636FZ4VNV,1,
101,12.16988764,639.2830572,Standard,Electronic check,No,Both,No,Computer,16.06235632,74.34797147,11,Drama,3.836933094,2,Female,12,Yes,Unknown,CAS3XBFUJG,0,
83,9.270358699,769.439772,Standard,Electronic check,No,Movies,Yes,Tablet,10.00865503,25.53124935,32,Action,2.551976207,9,Male,17,No,Unknown,Y66SW76TPC,1,
10,8.078494236,614.1966064,Standard,Mailed check,No,TV Shows,No,Mobile,29.18474344,155.792776,0,Fantasy,2.8983278864999997,2,Female,2,No,Unknown,BEREY4ZEQN,0,
