Date,Product,Product2,Units Sold,Unit Price,Revenue,Region,Month,Year,Month_Name,Quarter
07-01-2024,T-Shirt,Clothing,29,361,10469,North,1,2024,January,1
07-01-2024,Tablet,Electronics,23,196,4508,West,1,2024,January,1
07-01-2024,T-Shirt,Clothing,45,934,42030,West,1,2024,January,1
14-01-2024,T-Shirt,Clothing,18,754,13572,West,1,2024,January,1
14-01-2024,T-Shirt,Clothing,23,525,12075,East,1,2024,January,1
21-01-2024,Shoes,Clothing,39,415,16185,North,1,2024,January,1
21-01-2024,T-Shirt,Clothing,25,503,12575,North,1,2024,January,1
28-01-2024,Laptop,Electronics,43,128,5504,North,1,2024,January,1
28-01-2024,Smartphone,Electronics,43,417,17931,East,1,2024,January,1
28-01-2024,Smartphone,Electronics,9,182,1638,East,1,2024,January,1
28-01-2024,Shoes,Clothing,47,862,40514,South,1,2024,January,1
04-02-2024,T-Shirt,Clothing,13,93,1209,South,2,2024,February,1
04-02-2024,T-Shirt,Clothing,21,272,5712,South,2,2024,February,1
04-02-2024,Washing Machine,Home Appliances,17,187,3179,South,2,2024,February,1
04-02-2024,Laptop,Electronics,31,653,20243,South,2,2024,February,1
11-02-2024,Shoes,Clothing,41,441,18081,East,2,2024,February,1
11-02-2024,Shoes,Clothing,5,361,1805,West,2,2024,February,1
18-02-2024,Laptop,Electronics,49,151,7399,West,2,2024,February,1
18-02-2024,Washing Machine,Home Appliances,35,806,28210,North,2,2024,February,1
25-02-2024,Tablet,Electronics,14,877,12278,East,2,2024,February,1
25-02-2024,Washing Machine,Home Appliances,7,192,1344,North,2,2024,February,1
25-02-2024,Smartphone,Electronics,32,657,21024,South,2,2024,February,1
03-03-2024,Laptop,Electronics,43,20,860,East,3,2024,March,1
03-03-2024,Shoes,Clothing,32,209,6688,North,3,2024,March,1
10-03-2024,T-Shirt,Clothing,29,843,24447,North,3,2024,March,1
10-03-2024,Washing Machine,Home Appliances,10,77,770,West,3,2024,March,1
10-03-2024,Shoes,Clothing,36,192,6912,North,3,2024,March,1
10-03-2024,Shoes,Clothing,20,905,18100,North,3,2024,March,1
17-03-2024,T-Shirt,Clothing,41,695,28495,East,3,2024,March,1
17-03-2024,Tablet,Electronics,24,460,11040,South,3,2024,March,1
17-03-2024,Laptop,Electronics,18,162,2916,East,3,2024,March,1
17-03-2024,Laptop,Electronics,7,675,4725,East,3,2024,March,1
24-03-2024,Tablet,Electronics,16,349,5584,West,3,2024,March,1
24-03-2024,Washing Machine,Home Appliances,16,427,6832,West,3,2024,March,1
31-03-2024,Smartphone,Electronics,32,695,22240,South,3,2024,March,1
31-03-2024,Smartphone,Electronics,32,751,24032,North,3,2024,March,1
07-04-2024,T-Shirt,Clothing,31,521,16151,East,4,2024,April,2
07-04-2024,Laptop,Electronics,13,948,12324,North,4,2024,April,2
14-04-2024,T-Shirt,Clothing,33,928,30624,South,4,2024,April,2
14-04-2024,Tablet,Electronics,10,613,6130,East,4,2024,April,2
21-04-2024,Laptop,Electronics,6,29,174,West,4,2024,April,2
21-04-2024,Washing Machine,Home Appliances,49,24,1176,East,4,2024,April,2
28-04-2024,Washing Machine,Home Appliances,5,165,825,West,4,2024,April,2
28-04-2024,Laptop,Electronics,15,872,13080,South,4,2024,April,2
05-05-2024,Laptop,Electronics,26,846,21996,East,5,2024,May,2
05-05-2024,Laptop,Electronics,17,948,16116,South,5,2024,May,2
05-05-2024,Laptop,Electronics,39,530,20670,North,5,2024,May,2
05-05-2024,Shoes,Clothing,10,495,4950,North,5,2024,May,2
12-05-2024,Shoes,Clothing,42,790,33180,North,5,2024,May,2
12-05-2024,Shoes,Clothing,41,733,30053,South,5,2024,May,2
19-05-2024,Laptop,Electronics,25,97,2425,North,5,2024,May,2
19-05-2024,Washing Machine,Home Appliances,5,70,350,North,5,2024,May,2
19-05-2024,Shoes,Clothing,8,465,3720,North,5,2024,May,2
19-05-2024,Laptop,Electronics,44,819,36036,South,5,2024,May,2
26-05-2024,Smartphone,Electronics,38,457,17366,South,5,2024,May,2
26-05-2024,Tablet,Electronics,16,980,15680,South,5,2024,May,2
26-05-2024,T-Shirt,Clothing,9,753,6777,East,5,2024,May,2
26-05-2024,Laptop,Electronics,21,643,13503,East,5,2024,May,2
02-06-2024,Shoes,Clothing,25,929,23225,South,6,2024,June,2
02-06-2024,Tablet,Electronics,43,441,18963,West,6,2024,June,2
02-06-2024,T-Shirt,Clothing,38,825,31350,South,6,2024,June,2
02-06-2024,Smartphone,Electronics,22,817,17974,East,6,2024,June,2
